asin,product_title,category,sub_category,date,units_sold,selling_price,unit_cost,fba_fees,revenue,profit_margin_pct,bsr_rank,stock_level
B0CKBKJC3D,"NaturaCare NAturals Goat Milk Shampoo | Nourishing & Moisturizing Shampoo for Soft, Shiny Hair | Enriched with Natural Proteins & Vitamins | Suitable for All Hair Types""",Hair Shampoos,Goat Milk Shampoo,2026-01-02,1,472.65,0.00,21.02,472.65,,0,0
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-01-02,9,383.60,0.00,8.11,2685.20,,0,0
B0CV14GGRY,"NaturaCare Nalangu maavu|| Traditional Herbal Powder|| Gives shine & Glow | Natural Skin Care & Cleansing Powder | Brightens, Exfoliates & Nourishes Skin | Ayurvedic Beauty Ritual""",Body care,Nalangu Mavvu,2026-01-02,14,604.05,0.00,22.19,6644.50,,0,0
B0DHH75TQ4,"NaturaCare Naturals Natural Henna Hair Dye, No Ammonia, For All Hair Types | Hair Color | Rich, Long-Lasting Color & Shine | Safe for All Hair Types | Vegan & Cruelty-Free""",Hair Care,Henna Hair Dye,2026-01-02,28,475.33,0.00,14.10,10932.60,96.85,0,0
B0DR346PWR,"NATURACARE NATURALS 32 Herbs Hair growth Oil | Natural Oil Blend for Stronger, Thicker Hair | Promotes Hair Growth & Reduces Hair Fall | Enriched with Ayurvedic Herbs""",Hair Care,32 Herbs Hair Growth Oil,2026-01-02,9,548.00,0.00,15.32,3836.00,,0,0
B0DSJP1TZ8,"NaturaCare All NATURALS Milky Glow Niacinamide Sunscreen Drops SPF 50 | Lightweight, Hydrating, & Non-Greasy | Broad-Spectrum UVA/UV",skin glow and tan,Sunscreen Drops,2026-01-02,1,683.63,0.00,22.50,683.63,,0,0
B0DZTKSRX7,"NaturaCare ABC Malt Health Drink Powder – Apple, Beetroot & Carrot Blend | Immunity Booster & Natural Energy | Antioxidant-Rich Daily Nutrition | 200 g",Milk Mixtures,Abc Malt,2026-01-02,12,615.13,0.00,22.54,6151.30,95.86,0,0
B0F6K4ZJX4,"NaturaCare Natural Saffron Night Gel -100g || Revitalize Your Skin with Our Saffron Infused Night Gel- Experience Radiant, Youthful Results |Lightweight Overnight Repair",Face gel,Saffron Night Gel,2026-01-02,6,540.07,0.00,14.74,2700.34,,0,0
B0F6MZ1NRQ,"NaturaCare Anti-Dandruff Shampoo, 100m| Effective Scalp Treatment | Controls Flakes & Itch| Nourishing Formula for Healthy Hair",Hair Shampoos,Anti Dandruff Shampoo,2026-01-02,2,404.15,68.50,6.34,808.30,,0,0
B0F6N5XPBS,"NaturaCare Naturals Premium Herbal Shampoo | Volumizing, Nourishing & Anti Hair Fall | Paraben & Sulphate Free for All Hair Types | Natural Growth & Scalp Strength | 200 ml",Hair Shampoos,Herbal Shampoo,2026-01-02,2,404.15,0.00,10.28,808.30,,0,0
B0FYQBV8T2,"NaturaCare Naturals Slim & Strength Multi Grain Health Mix Powder 1 kg | Sprouted Millets, Pulses & Seeds Blend | Plant-Based Traditional Nutrition Mix",Weight Management,Weight Loss,2026-01-02,42,1368.63,0.00,114.22,46533.42,91.23,0,0
B0G4368ZFX,"NaturaCare Naturals 500gm Natural Mass Powder for Weight Gain – 1,200+ Calories, Fast Muscle Growth Supplement, High-Calorie Formula for Men & Women",Weight Management,Weight Gain,2026-01-02,30,616.50,0.00,27.11,14796.00,,0,0
B0G44HZFHD,"NaturaCare Naturals Advanced Hair Growth Serum 30 ml with Redensyl 3%, Anagain 4%, Baicapil 2% & Caffeine – Plant Based Serum to Stimulate Hair Regrowth, Support Hair Density & Scalp Care for Men & Women",Hair Care,Redensyl Hair Growth Serum,2026-01-02,4,1096.00,0.00,61.17,3288.00,,0,0
B0G94NLS8S,"NaturaCare Naturals Biotin Hair Gummies | Supports Hair Growth & Hair Fall Control | With Zinc, Vitamins & Prebiotics | No Added Sugar | 30 Gummies",Hair Care,Biotin Hair Gummies,2026-01-02,7,609.65,0.00,21.92,3657.90,,0,0
B09RSGYCC2,"NaturaCare Naturals Forehead Gel, 50gm | Soothing & Hydrating Gel for Smooth Skin | Reduces Fine Lines & Wrinkles | Anti-Aging Formula| Refreshing & Non-Greasy| Suitable for All Skin Types|",Hair Care,Forehead Gel,2026-01-03,1,486.35,0.00,18.96,486.35,,0,0
B0BJ112C43,"NaturaCare Silk & Smooth Hair Conditioning Shampoo-200ml ||Nourish and Rejuvenate with Natural Silk & Smooth Hair Conditioning Shampoo - Soft, Shiny, and Healthy Hair Guaranteed||",Hair Shampoos,Conditioning Shampoo,2026-01-03,1,609.65,0.00,19.28,609.65,,0,0
B0BJ23V576,"NaturaCare Natural Anti-Frizz Hair Serum-100Ml Formulated With Olive Oil,Amlajojoba Oil & Hibiscus Oil ||Tame Your Frizz With Our Advanced Anti-Frizz Hair Serum-Say Goodbye To Unmanageable Hair",Hair Care,Anti-Frizz Hair Serum,2026-01-03,1,479.50,0.00,18.19,479.50,,0,0
B0BK4XF3VH,"NaturaCare Red Sandal Glowing Scrub-50g with Red Sandal,Jojoba Oil,Olive Oil || Red sandal scrub can brighten your skin by removing blemishes and dark spots ||",skin glow and tan,Red Sandal Glowing Scrub,2026-01-03,1,472.65,0.00,5.93,472.65,,0,0
B0BK52C49W,"NaturaCare Red Sandal Exfoliate Scrubbing Face Wash-100ml with Micronized Nano-Particles,Red sandal extract,Hydroxyethyl Cellulose,Rose oil,Grape fruit oil,Lavender oil,Coco glucoside ||Natural Scrub for All Skin Types||",Face Wash,Red Sandal Exfoliate Face Wash,2026-01-03,1,472.65,0.00,13.34,472.65,,0,0
B0BL73PT5W,"NaturaCare Natural Anti-Acne Face Wash-100ml with Thulasi Extract, Sandal Oil, Neem Extract, Coco Glucoside ||Cleanses & Exfoliates for Clear & Refreshed Skin - All Skin Types ||",Face Wash,Anti-Acne Face Wash,2026-01-03,2,404.15,0.00,8.62,808.30,,0,0
B0BM48KNBN,"NaturaCare Natural Beetroot lip balm-6g ||Organic- Natural, Safe & Hydrating for All Skin Types, Perfect for Dry, Chapped Lips",Lip Care,Beetroot Lip Balm,2026-01-03,5,267.15,0.00,8.29,1068.60,,0,0
B0BNBG9QDL,NaturaCare Natural Saffron Goat Milk Soap -100g ||Pure Luxury : Nourish Your Skin with Saffron-Infused Goat Milk Soap||,Goat Milk Soap,Saffron Goat Milk Soap,2026-01-03,2,239.75,0.00,8.85,479.50,,0,0
B0BNBLMNDJ,"NaturaCare Rice Goat Milk Soap-100g Extra virgin olive oil, Farm fresh goat milk, Coconut oil ||100% Natural Ingredients for Radiant Skin ||",Goat Milk Soap,Goat Milk Soap,2026-01-03,1,239.75,0.00,9.70,239.75,,0,0
B0BT7ZQ82C,NaturaCare Natural Vitamin C Foaming Face Wash Revitalize Your Skin with Antioxidant-Rich Formula|150ml,Face Wash,Vitamin C Foaming Face,2026-01-03,1,479.50,0.00,11.85,479.50,,0,0
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-01-03,62,719.25,0.00,45.76,35962.50,92.21,0,0
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-01-03,16,383.60,0.00,8.11,4986.80,,0,0
B0CV14GGRY,"NaturaCare Nalangu maavu|| Traditional Herbal Powder|| Gives shine & Glow | Natural Skin Care & Cleansing Powder | Brightens, Exfoliates & Nourishes Skin | Ayurvedic Beauty Ritual""",Body care,Nalangu Mavvu,2026-01-03,14,609.65,0.00,22.19,6706.15,,0,0
B0DHH75TQ4,"NaturaCare Naturals Natural Henna Hair Dye, No Ammonia, For All Hair Types | Hair Color | Rich, Long-Lasting Color & Shine | Safe for All Hair Types | Vegan & Cruelty-Free""",Hair Care,Henna Hair Dye,2026-01-03,39,467.51,0.00,14.10,14960.40,95.82,0,0
B0DR346PWR,"NATURACARE NATURALS 32 Herbs Hair growth Oil | Natural Oil Blend for Stronger, Thicker Hair | Promotes Hair Growth & Reduces Hair Fall | Enriched with Ayurvedic Herbs""",Hair Care,32 Herbs Hair Growth Oil,2026-01-03,16,547.58,0.00,15.32,7118.52,,0,0
B0DSJR3CRB,"NATURACARE NATURALS Hydra boost Gel Moisturizer | Lightweight, Oil-Free, Fast-Absorbing Hydration for Smooth & Supple Skin | With Hyaluronic Acid | Suitable for All Skin Types",skin glow and tan,Hydra Boost Gel Moisturizer,2026-01-03,1,683.63,0.00,17.78,683.63,,0,0
B0DZTKSRX7,"NaturaCare ABC Malt Health Drink Powder – Apple, Beetroot & Carrot Blend | Immunity Booster & Natural Energy | Antioxidant-Rich Daily Nutrition | 200 g",Milk Mixtures,Abc Malt,2026-01-03,18,615.13,0.00,22.54,9226.95,95.07,0,0
B0F6K4ZJX4,"NaturaCare Natural Saffron Night Gel -100g || Revitalize Your Skin with Our Saffron Infused Night Gel- Experience Radiant, Youthful Results |Lightweight Overnight Repair",Face gel,Saffron Night Gel,2026-01-03,9,541.15,0.00,14.74,3788.05,,0,0
B0FYQBV8T2,"NaturaCare Naturals Slim & Strength Multi Grain Health Mix Powder 1 kg | Sprouted Millets, Pulses & Seeds Blend | Plant-Based Traditional Nutrition Mix",Weight Management,Weight Loss,2026-01-03,49,1368.63,0.00,114.22,54745.20,89.87,0,0
B0G4368ZFX,"NaturaCare Naturals 500gm Natural Mass Powder for Weight Gain – 1,200+ Calories, Fast Muscle Growth Supplement, High-Calorie Formula for Men & Women",Weight Management,Weight Gain,2026-01-03,15,616.50,0.00,27.11,7398.00,94.06,0,0
B0G44HZFHD,"NaturaCare Naturals Advanced Hair Growth Serum 30 ml with Redensyl 3%, Anagain 4%, Baicapil 2% & Caffeine – Plant Based Serum to Stimulate Hair Regrowth, Support Hair Density & Scalp Care for Men & Women",Hair Care,Redensyl Hair Growth Serum,2026-01-03,2,1096.00,0.00,61.17,2192.00,,0,0
B0G48HK3WQ,"NaturaCare Naturals Banana Organic Shampoo Powder | Herbal, Chemical-Free| Gentle Cleanser for Healthy, Strong Hair 200gm",Body care,Banana Organic Shampoo Powder,2026-01-03,2,609.65,0.00,17.78,1219.30,,0,0
B0G94NLS8S,"NaturaCare Naturals Biotin Hair Gummies | Supports Hair Growth & Hair Fall Control | With Zinc, Vitamins & Prebiotics | No Added Sugar | 30 Gummies",Hair Care,Biotin Hair Gummies,2026-01-03,5,609.65,0.00,21.92,2438.60,94.02,0,0
B0GDTHS9ST,"NaturaCare Naturals 1kg Natural Mass Gainer Powder – 1,200+ Calories per Serving, Supports Muscle Gain, High-Calorie Nutrition Supplement for Men & Women",Weight Management,Weight Gain,2026-01-03,1,1164.50,0.00,57.94,1164.50,,0,0
B09L1QFQV1,NaturaCare Naturals Almond Scrub 40 g | Almond Face Scrub – Exfoliating & Nourishing – Natural Glow,skin glow and tan,Facial Scrubs & Polishes,2026-01-04,2,335.65,0.00,9.17,671.30,,0,0
B09L4ZTM2V,NaturaCare Natural Pimple Face Gel-50 G || Natural Pimple Gel with neem and turmeric - Convenient & Effective Solution for Clear Skin ||,Face gel,Pimple Face Gel,2026-01-04,1,404.15,0.00,3.88,404.15,,0,0
B0BKLQHQ8B,"NaturaCare Black Spot Cream-30g || A revolutionary product that can remove Black Spots, stretch marks, and scars on your face and leaving your skin smooth and pure ||",Face care,Face Creams,2026-01-04,1,616.50,0.00,12.70,616.50,,0,0
B0BM48KNBN,"NaturaCare Natural Beetroot lip balm-6g ||Organic- Natural, Safe & Hydrating for All Skin Types, Perfect for Dry, Chapped Lips",Lip Care,Beetroot Lip Balm,2026-01-04,2,267.15,0.00,8.29,534.30,,0,0
B0BM4FC2DV,"NaturaCare Strawberry lip balm- 6g, Strawberry Lip Balm - Hydrates & Repairs Dry Lips with Key Ingredients",Lip Care,Strawberry Lip Balm,2026-01-04,4,267.15,0.00,7.27,801.45,,0,0
B0BNBG9QDL,NaturaCare Natural Saffron Goat Milk Soap -100g ||Pure Luxury : Nourish Your Skin with Saffron-Infused Goat Milk Soap||,Goat Milk Soap,Saffron Goat Milk Soap,2026-01-04,1,239.75,0.00,8.85,239.75,,0,0
B0BNBLMNDJ,"NaturaCare Rice Goat Milk Soap-100g Extra virgin olive oil, Farm fresh goat milk, Coconut oil ||100% Natural Ingredients for Radiant Skin ||",Goat Milk Soap,Goat Milk Soap,2026-01-04,4,223.31,0.00,9.70,669.93,,0,0
B0BTSS6DZX,"NaturaCare Natural Combo of Goat Milk Soap-300g, || Luxurious Nourishing Soap with Goat Milk, Saffron, Rich, and Charcoal || Gentle for Daily Use",Goat Milk Soap,Combo Of Goat Milk,2026-01-04,1,719.25,0.00,0.00,719.25,,0,0
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-01-04,64,719.25,0.00,45.76,37401.00,91.90,0,0
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-01-04,27,381.86,0.00,8.11,8400.84,,0,0
B0CV14GGRY,"NaturaCare Nalangu maavu|| Traditional Herbal Powder|| Gives shine & Glow | Natural Skin Care & Cleansing Powder | Brightens, Exfoliates & Nourishes Skin | Ayurvedic Beauty Ritual""",Body care,Nalangu Mavvu,2026-01-04,21,609.65,0.00,22.19,10364.05,,0,0
B0CV1638G6,NaturaCare Naturals Vitamin C + E face wash | Suitable for All Skin Types,Face Wash,Vitamin C +Face Wash,2026-01-04,1,479.50,0.00,11.85,479.50,,0,0
B0CV17GF6N,NaturaCare Naturals Vitamin C day cream | SPF 30 | Suitable for All Skin Types,Face care,Face Creams,2026-01-04,1,479.50,0.00,17.78,479.50,,0,0
B0CV191CD6,"NaturaCare Naturals Vitamin C Glow Serum|| Softening, Hydrating, Brightens & Evens Skin Tone |",Hair Care,Vitamin C Glow Serum,2026-01-04,1,685.00,0.00,21.74,685.00,,0,0
B0CVRXMYB6,"NaturaCare Naturals Rosemary Biotin Hair Growth Serum| | Stimulates Hair Growth & Strengthens Hair | Reduces Hair Fall & Promotes Scalp Health | Natural & Nourishing Formula""",Hair Care,Rosemary Biotin Hair Growth Serum,2026-01-04,1,820.63,0.00,54.96,820.63,,0,0
B0DHH75TQ4,"NaturaCare Naturals Natural Henna Hair Dye, No Ammonia, For All Hair Types | Hair Color | Rich, Long-Lasting Color & Shine | Safe for All Hair Types | Vegan & Cruelty-Free""",Hair Care,Henna Hair Dye,2026-01-04,39,476.50,0.00,14.10,15248.10,95.99,0,0
B0DR346PWR,"NATURACARE NATURALS 32 Herbs Hair growth Oil | Natural Oil Blend for Stronger, Thicker Hair | Promotes Hair Growth & Reduces Hair Fall | Enriched with Ayurvedic Herbs""",Hair Care,32 Herbs Hair Growth Oil,2026-01-04,14,548.00,0.00,15.32,6028.00,,0,0
B0DSJQKV8T,"NATURACARE NATURALS Kids Sunscreen Lotion SPF 30 + | Gentle & Water-Resistant Sun Protection for Sensitive Skin | Broad Spectrum UVA/UVB Protection | Hypoallergenic & Dermatologist-Tested""",Baby care,Kids Suncream Lotion,2026-01-04,1,683.63,0.00,5.93,683.63,,0,0
B0DSJR3CRB,"NATURACARE NATURALS Hydra boost Gel Moisturizer | Lightweight, Oil-Free, Fast-Absorbing Hydration for Smooth & Supple Skin | With Hyaluronic Acid | Suitable for All Skin Types",skin glow and tan,Hydra Boost Gel Moisturizer,2026-01-04,1,683.63,0.00,17.78,683.63,,0,0
B0DSL91D8Z,"NATURACARE NATURALS Under Eye Roll Cooling Under Eye Roll-On | Reduces Puffiness, Dark Circles & Fine Lines|Portable & Convenient|15ml pack",Face care,Under Eye Roll,2026-01-04,1,546.63,0.00,11.85,546.63,,0,0
B0DZTKSRX7,"NaturaCare ABC Malt Health Drink Powder – Apple, Beetroot & Carrot Blend | Immunity Booster & Natural Energy | Antioxidant-Rich Daily Nutrition | 200 g",Milk Mixtures,Abc Malt,2026-01-04,10,615.13,0.00,22.54,4921.04,95.15,0,0
B0F6K4ZJX4,"NaturaCare Natural Saffron Night Gel -100g || Revitalize Your Skin with Our Saffron Infused Night Gel- Experience Radiant, Youthful Results |Lightweight Overnight Repair",Face gel,Saffron Night Gel,2026-01-04,17,541.15,0.00,14.74,7576.10,,0,0
B0F6MZ1NRQ,"NaturaCare Anti-Dandruff Shampoo, 100m| Effective Scalp Treatment | Controls Flakes & Itch| Nourishing Formula for Healthy Hair",Hair Shampoos,Anti Dandruff Shampoo,2026-01-04,5,404.15,68.50,6.34,1616.60,,0,0
B0F6N5XPBS,"NaturaCare Naturals Premium Herbal Shampoo | Volumizing, Nourishing & Anti Hair Fall | Paraben & Sulphate Free for All Hair Types | Natural Growth & Scalp Strength | 200 ml",Hair Shampoos,Herbal Shampoo,2026-01-04,2,404.15,0.00,10.28,808.30,,0,0
B0FYQBV8T2,"NaturaCare Naturals Slim & Strength Multi Grain Health Mix Powder 1 kg | Sprouted Millets, Pulses & Seeds Blend | Plant-Based Traditional Nutrition Mix",Weight Management,Weight Loss,2026-01-04,64,1368.37,0.00,114.22,71155.07,90.01,0,0
