asin,keyword,match_type,date,impressions,clicks,cpc,ad_spend,attributed_sales,attributed_units,acos
CA-AE0J-5F22,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,18,1,8.04,4.02,0.00,0,0.00
CA-AE0J-5F22,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,8,1,8.14,3.39,0.00,0,0.00
CJ-HXDG-X2A4,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,4,1,13.64,11.04,0.00,0,0.00
CJ-HXDG-X2A4,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,592,8,15.81,102.39,0.00,0,0.00
CJ-HXDG-X2A4,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,58,12,16.76,162.79,0.00,0,0.00
CO-WC3X-U97N,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,0,15.01,0.71,0.00,0,0.00
CO-WC3X-U97N,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,139,0,17.40,6.63,0.00,0,0.00
CO-WC3X-U97N,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,14,1,18.44,10.54,0.00,0,0.00
F4-YFRN-XJE0,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,151,3,15.77,35.48,170.84,0,20.77
F4-YFRN-XJE0,naturacare naturals,PHRASE,2026-01-01,601,8,18.44,126.81,887.24,2,14.29
F4-YFRN-XJE0,naturacare naturals,BROAD,2026-01-01,7,0,30.11,3.70,0.00,0,0.00
F4-YFRN-XJE0,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,179,8,14.48,90.52,559.81,1,16.17
F4-YFRN-XJE0,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,82,1,6.26,3.13,0.00,0,0.00
FR-PG20-IO18,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,0,7.27,2.91,0.00,0,0.00
FR-PG20-IO18,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,4,1,10.54,8.43,0.00,0,0.00
FR-PG20-IO18,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,5,1,12.74,15.29,724.95,2,2.11
FR-PG20-IO18,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,142,4,11.53,41.51,182.43,1,22.76
HD001,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,86,6,5.38,26.91,1885.39,4,1.43
HD001,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,5,1,3.32,3.32,0.00,0,0.00
HD001,hair dye,BROAD,2026-01-01,71,5,20.60,82.39,456.68,1,18.04
HD001,henna hair dye,BROAD,2026-01-01,60,7,19.14,114.83,0.00,0,0.00
HD001,naturacare hair,PHRASE,2026-01-01,11,2,6.41,12.82,0.00,0,0.00
HD001,naturacare naturals,BROAD,2026-01-01,3,0,36.28,2.55,0.00,0,0.00
HD001,naturacare naturals,PHRASE,2026-01-01,310,5,22.22,87.33,0.00,0,0.00
HD001,naturacare naturals hair dye,EXACT,2026-01-01,109,25,9.61,192.17,3881.72,9,4.95
HD001,laxmi  natural hair dye,EXACT,2026-01-01,27,1,7.74,7.74,0.00,0,0.00
HD001,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,1,16.66,16.66,0.00,0,0.00
HD001,natural hair dye,BROAD,2026-01-01,5,1,61.91,61.91,0.00,0,0.00
HD001,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,62,5,14.07,56.28,0.00,0,0.00
J8-HEEW-PU4E,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,2.14,0.36,0.00,0,0.00
J8-HEEW-PU4E,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,25,1,11.62,11.62,0.00,0,0.00
J8-HEEW-PU4E,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,12,1,11.77,9.80,0.00,0,0.00
KV-CO22-5TQK,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,13.60,1.94,1143.59,2,0.17
KV-CO22-5TQK,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,51,1,15.76,18.01,0.00,0,0.00
KV-CO22-5TQK,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,5,2,16.71,28.64,0.00,0,0.00
LH-QRXG-BC86,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,103,2,15.54,31.07,0.00,0,0.00
LKN-Gummies01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,47,5,22.44,89.75,580.61,1,15.46
LKN-Gummies01,naturacare gummies,EXACT,2026-01-01,2,1,16.51,16.51,0.00,0,0.00
LKN-Gummies01,naturacare hair gummies,PHRASE,2026-01-01,7,2,18.87,37.74,807.01,2,4.68
LKN-Gummies01,naturacare naturals gummies,PHRASE,2026-01-01,4,2,1.78,3.56,0.00,0,0.00
LKN-Gummies01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,549,12,21.72,217.23,3631.14,6,5.98
LKN-HGOIL-200ML,ayurvedic oil,BROAD,2026-01-01,1,1,15.58,15.58,0.00,0,0.00
LKN-HGOIL-200ML,growth oil,PHRASE,2026-01-01,5,1,32.03,32.03,521.90,1,6.14
LKN-HGOIL-200ML,"keyword-group=""category""",TARGETING_EXPRESSION,2026-01-01,4,1,7.62,7.62,0.00,0,0.00
LKN-HGOIL-200ML,naturacare hair oil,BROAD,2026-01-01,118,15,4.18,50.18,4338.41,6,1.16
LKN-HGOIL-200ML,naturacare naturals,PHRASE,2026-01-01,380,4,20.92,61.65,0.00,0,0.00
LKN-HGOIL-200ML,naturacare naturals,BROAD,2026-01-01,143,5,5.49,22.24,0.00,0,0.00
LKN-HGOIL-200ML,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,4,2,6.93,13.86,0.00,0,0.00
LKN-HGOIL-200ML,natural hair oil,BROAD,2026-01-01,16,1,29.06,29.06,0.00,0,0.00
LKN-HGOIL-200ML,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,1,14.47,14.47,0.00,0,0.00
LKN-Redensyl serum,hair growth serum,PHRASE,2026-01-01,54,1,31.44,31.44,0.00,0,0.00
LKN-Redensyl serum,naturacare naturals,BROAD,2026-01-01,2,0,26.44,0.46,0.00,0,0.00
LKN-Redensyl serum,naturacare naturals,PHRASE,2026-01-01,197,1,16.19,15.91,0.00,0,0.00
LKN-Redensyl serum,redensyl serum,BROAD,2026-01-01,14,1,29.70,29.70,0.00,0,0.00
LKN-Weight-GAIN01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,39,2,19.26,38.52,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals,PHRASE,2026-01-01,313,1,7.30,7.18,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals,BROAD,2026-01-01,3,0,11.92,0.21,0.00,0,0.00
LKN-Weight-GAIN01,naturacare naturals weight gain powder,EXACT,2026-01-01,20,11,5.28,47.50,587.14,1,8.09
LKN-Weight-GAIN01,naturacare weight gain powder,EXACT,2026-01-01,12,7,6.38,38.31,587.15,1,6.52
LKN-Weight-GAIN01,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,2,1,18.67,18.67,0.00,0,0.00
LKN-Weight-GAIN01,weight gain,BROAD,2026-01-01,25,7,20.10,120.60,1174.31,1,10.27
LKN-Weight-GAIN01,weight gainer,EXACT,2026-01-01,55,1,36.00,36.00,0.00,0,0.00
LKN-Weight-GAIN01,weight gain powder,PHRASE,2026-01-01,458,10,27.91,223.26,587.15,1,38.02
LKN-Weight-GAIN01,weight gain powder,EXACT,2026-01-01,41,4,41.39,124.18,587.15,1,21.15
NC-W1A4-6XI4,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,1,9.77,6.52,0.00,0,0.00
NC-W1A4-6XI4,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,17.94,5.98,0.00,0,0.00
QP-AMD8-Y9KH,naturacare naturals,PHRASE,2026-01-01,351,5,9.96,39.15,1115.56,2,3.51
QP-AMD8-Y9KH,naturacare naturals,BROAD,2026-01-01,4,0,16.27,1.14,0.00,0,0.00
Slim01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,2428,166,11.23,1515.47,14613.35,25,10.37
Slim01,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,466,7,10.74,64.43,1303.45,1,4.94
Slim01,"keyword-group=""category""",TARGETING_EXPRESSION,2026-01-01,13,1,4.71,5.66,0.00,0,0.00
Slim01,naturacare naturals,BROAD,2026-01-01,3,0,20.61,1.81,0.00,0,0.00
Slim01,naturacare naturals,PHRASE,2026-01-01,230,6,12.62,62.01,2055.00,2,3.02
Slim01,naturacare naturals weight loss powder,BROAD,2026-01-01,206,1,27.06,18.73,0.00,0,0.00
Slim01,naturacare weight loss powder,BROAD,2026-01-01,238,9,12.97,94.80,1370.00,2,6.92
Slim01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,7,4,5.99,17.96,3291.89,4,0.55
Slim01,weight loss powder,BROAD,2026-01-01,11,2,10.12,18.21,0.00,0,0.00
Slim02,belly fat burner,EXACT,2026-01-01,218,1,75.20,75.20,1303.46,1,5.77
Slim02,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,5905,176,18.66,2668.20,33808.72,33,7.89
Slim02,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,2,1,31.74,31.74,0.00,0,0.00
Slim02,"keyword-group=""category""",TARGETING_EXPRESSION,2026-01-01,11,1,14.61,11.69,0.00,0,0.00
Slim02,naturacare naturals,BROAD,2026-01-01,1,0,28.95,1.02,0.00,0,0.00
Slim02,naturacare naturals,PHRASE,2026-01-01,71,2,17.73,34.84,0.00,0,0.00
Slim02,naturacare naturals weight loss powder,BROAD,2026-01-01,384,10,16.36,135.88,2606.89,2,5.21
Slim02,naturacare weight loss powder,BROAD,2026-01-01,70,5,21.92,80.95,5213.78,5,1.55
Slim02,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,22,2,14.14,28.28,0.00,0,0.00
Slim02,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,2403,28,30.69,705.97,1303.45,1,54.16
Slim02,weight loss powder,BROAD,2026-01-01,9,1,31.35,37.62,0.00,0,0.00
sunscreendrops50ml,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,157,9,14.18,99.23,0.00,0,0.00
sunscreendrops50ml,naturacare naturals,PHRASE,2026-01-01,235,6,16.05,78.82,0.00,0,0.00
sunscreendrops50ml,naturacare naturals,BROAD,2026-01-01,3,0,26.20,2.30,0.00,0,0.00
WT-U58E-RPQB,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,7,2,5.33,7.10,0.00,0,0.00
WT-U58E-RPQB,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,2,1,9.77,6.52,0.00,0,0.00
Y0-LR81-7OHE,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,8.52,3.41,0.00,0,0.00
Y0-LR81-7OHE,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,3,1,12.35,9.88,0.00,0,0.00
Y0-LR81-7OHE,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,4,1,14.93,17.91,182.43,1,9.82
Y0-LR81-7OHE,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,114,4,13.51,48.63,45.91,0,105.93
YF-QA0C-YDO2,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,10.35,0.69,0.00,0,0.00
YF-QA0C-YDO2,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,3,0,15.00,2.00,0.00,0,0.00
YF-QA0C-YDO2,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,3,0,18.14,3.63,0.00,0,0.00
YF-QA0C-YDO2,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,86,1,16.41,9.85,0.00,0,0.00
07-IRQL-T5BS,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,1,13.97,11.17,0.00,0,0.00
07-IRQL-T5BS,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,13,1,16.73,13.38,0.00,0,0.00
07-IRQL-T5BS,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,40,3,15.95,38.27,0.00,0,0.00
09-NY8V-51DZ,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,17,1,10.83,4.95,0.00,0,0.00
09-NY8V-51DZ,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,42,1,18.48,8.45,0.00,0,0.00
09-NY8V-51DZ,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,50,3,12.17,25.04,0.00,0,0.00
09-NY8V-51DZ,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,188,6,15.60,78.46,0.00,0,0.00
0Y-IUMK-9L39,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,60,6,8.07,36.31,299.50,1,12.12
0Y-IUMK-9L39,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,1,8.52,7.66,0.00,0,0.00
0Y-IUMK-9L39,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,42,4,8.01,28.85,150.64,1,19.15
2V-LWYR-38TF,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,6,1,10.85,5.43,0.00,0,0.00
2V-LWYR-38TF,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,1,4.41,2.20,0.00,0,0.00
54-N90S-Z2EK,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,140,4,20.57,70.30,0.00,0,0.00
54-N90S-Z2EK,herbal bathing powder,PHRASE,2026-01-02,79,4,32.10,96.30,0.00,0,0.00
54-N90S-Z2EK,naturacare natural,PHRASE,2026-01-02,1724,26,10.16,213.42,516.65,1,41.31
54-N90S-Z2EK,naturacare naturals,PHRASE,2026-01-02,558,8,23.24,157.01,1303.45,1,12.05
54-N90S-Z2EK,naturacare naturals,BROAD,2026-01-02,17,0,39.88,9.74,0.00,0,0.00
54-N90S-Z2EK,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,430,38,15.63,480.65,1497.71,4,32.09
54-N90S-Z2EK,nalangu maavu,BROAD,2026-01-02,461,23,19.55,371.41,1549.96,4,23.96
54-N90S-Z2EK,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,396,8,5.38,36.77,0.00,0,0.00
6A-X1F7-F5Q6,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,15,2,5.21,10.43,342.50,1,3.04
6A-X1F7-F5Q6,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,1,13.84,13.84,0.00,0,0.00
6A-X1F7-F5Q6,naturacare naturals,BROAD,2026-01-02,31,0,20.61,7.91,0.00,0,0.00
6A-X1F7-F5Q6,naturacare naturals,PHRASE,2026-01-02,1051,13,12.01,127.49,1947.93,5,6.54
6A-X1F7-F5Q6,saffron gel,PHRASE,2026-01-02,20,7,15.54,93.27,458.59,1,20.34
6A-X1F7-F5Q6,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,1,7.63,7.63,0.00,0,0.00
6Z-V54C-G5K5,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,95,1,11.33,11.33,0.00,0,0.00
6Z-V54C-G5K5,naturacare naturals,BROAD,2026-01-02,22,0,11.74,1.23,0.00,0,0.00
6Z-V54C-G5K5,naturacare naturals,PHRASE,2026-01-02,738,4,6.84,19.81,632.78,2,3.13
6Z-V54C-G5K5,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,2,0,11.96,2.39,0.00,0,0.00
6Z-V54C-G5K5,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,67,1,11.26,9.00,0.00,0,0.00
abcmalt-200g,abc malt powder,EXACT,2026-01-02,165,1,19.88,19.88,0.00,0,0.00
abcmalt-200g,abc malt powder,PHRASE,2026-01-02,1561,36,20.23,586.65,585.84,1,100.14
abcmalt-200g,abc powder,PHRASE,2026-01-02,1,1,12.38,12.38,0.00,0,0.00
abcmalt-200g,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,2474,41,24.21,798.78,2343.36,5,34.09
abcmalt-200g,naturacare abc malt powder,EXACT,2026-01-02,785,9,26.88,188.16,0.00,0,0.00
abcmalt-200g,naturacare naturals,PHRASE,2026-01-02,495,2,26.87,51.86,0.00,0,0.00
abcmalt-200g,naturacare naturals,BROAD,2026-01-02,15,0,46.10,3.22,0.00,0,0.00
abcmalt-200g,naturacare naturals abc malt,EXACT,2026-01-02,260,2,22.16,44.32,0.00,0,0.00
abcmalt-200g,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,63,11,31.76,285.86,0.00,0,0.00
B0-BVJJ-KPBN,naturacare naturals,PHRASE,2026-01-02,521,4,22.95,66.45,0.00,0,0.00
B0-BVJJ-KPBN,naturacare naturals,BROAD,2026-01-02,16,0,39.38,4.12,0.00,0,0.00
CA-AE0J-5F22,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,29,3,9.32,23.29,150.64,1,15.46
CA-AE0J-5F22,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,1,9.83,4.92,0.00,0,0.00
CA-AE0J-5F22,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,20,2,9.25,18.51,75.77,1,24.43
CJ-HXDG-X2A4,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,2439,12,16.08,161.73,0.00,0,0.00
CJ-HXDG-X2A4,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,57,8,15.67,96.97,0.00,0,0.00
CJ-HXDG-X2A4,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,836,30,15.02,371.84,1141.65,4,32.57
CO-WC3X-U97N,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1013,2,14.69,25.23,0.00,0,0.00
CO-WC3X-U97N,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,24,1,14.32,15.13,0.00,0,0.00
CO-WC3X-U97N,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,348,5,13.73,58.01,0.00,0,0.00
F4-YFRN-XJE0,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,42,1,27.29,15.92,0.00,0,0.00
F4-YFRN-XJE0,naturacare naturals,BROAD,2026-01-02,25,0,23.08,5.64,0.00,0,0.00
F4-YFRN-XJE0,naturacare naturals,PHRASE,2026-01-02,835,8,13.45,90.87,521.92,1,17.41
F4-YFRN-XJE0,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,130,6,20.73,108.84,0.00,0,0.00
F4-YFRN-XJE0,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,120,1,7.14,8.33,0.00,0,0.00
FR-PG20-IO18,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,24,1,11.29,5.81,0.00,0,0.00
FR-PG20-IO18,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,60,1,19.27,9.91,0.00,0,0.00
FR-PG20-IO18,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,72,3,12.70,29.38,0.00,0,0.00
FR-PG20-IO18,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,269,7,16.27,92.06,0.00,0,0.00
HD001,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,1,5.80,5.80,0.00,0,0.00
HD001,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,77,4,15.69,47.06,0.00,0,0.00
HD001,hair dye,BROAD,2026-01-02,79,16,21.44,278.78,1826.69,5,15.26
HD001,henna hair dye,BROAD,2026-01-02,280,6,26.60,133.00,0.00,0,0.00
HD001,naturacare hair,PHRASE,2026-01-02,28,11,4.63,41.66,456.68,1,9.12
HD001,naturacare natural hair dye black,EXACT,2026-01-02,4,1,10.11,10.11,0.00,0,0.00
HD001,naturacare naturals,PHRASE,2026-01-02,591,17,5.29,71.43,913.34,2,7.82
HD001,naturacare naturals,BROAD,2026-01-02,18,1,9.07,4.43,0.00,0,0.00
HD001,naturacare naturals hair dye,EXACT,2026-01-02,128,42,9.00,306.17,3562.05,9,8.60
HD001,laxmi  natural hair dye,EXACT,2026-01-02,15,4,3.95,11.84,0.00,0,0.00
HD001,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,2,2,25.62,51.24,0.00,0,0.00
HD001,natural hair dye,BROAD,2026-01-02,524,2,62.02,124.04,456.68,1,27.16
HD001,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,15,7,15.78,94.69,0.00,0,0.00
J8-HEEW-PU4E,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,54,2,11.62,23.24,0.00,0,0.00
J8-HEEW-PU4E,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,1,0,12.26,4.91,0.00,0,0.00
J8-HEEW-PU4E,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,38,2,11.54,18.46,0.00,0,0.00
KV-CO22-5TQK,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,79,1,18.24,13.42,0.00,0,0.00
KV-CO22-5TQK,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,2,1,17.77,8.05,0.00,0,0.00
KV-CO22-5TQK,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,27,2,17.04,30.86,0.00,0,0.00
LKN-AS-02,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,0,0,12.08,2.42,0.00,0,0.00
LKN-AS-02,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,3,0,14.47,2.89,0.00,0,0.00
LKN-AS-02,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,10,1,13.80,8.28,0.00,0,0.00
LKN-Gummies01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,348,7,27.45,164.70,0.00,0,0.00
LKN-Gummies01,naturacare biotin hair gummies,PHRASE,2026-01-02,4,4,17.44,52.31,0.00,0,0.00
LKN-Gummies01,naturacare gummies,EXACT,2026-01-02,2,1,10.18,10.18,0.00,0,0.00
LKN-Gummies01,naturacare hair gummies,PHRASE,2026-01-02,11,2,24.60,49.20,0.00,0,0.00
LKN-Gummies01,naturacare naturals gummies,PHRASE,2026-01-02,1,1,8.37,8.37,0.00,0,0.00
LKN-Gummies01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-02,935,15,29.35,352.23,2726.93,5,12.92
LKN-HGOIL-200ML,ayurvedic oil,BROAD,2026-01-02,1,1,19.48,19.48,0.00,0,0.00
